preset,volumeId,title,queries,publicationShape,categories,pageCount,shapePassed,enteredScoring,reason,inferredAudienceBand,formatIdentity,audienceDecision,audienceRejectionReason,recommendationIdentity,descriptionSnippet
Test A,4IeKyutnpOMC,"Publishers' Weekly","kids humorous picture book",public_domain_compilation,"",1418,false,false,,,,,,,"... <b>humorous</b> drawings in black and white , with nonsense quatrains , distorted ... <b>book</b> for <b>children</b> . It concerns the history of the Barnstable <b>children</b"
Test A,oqM_AQAAMAAJ,"The English Review","kids humorous picture book",public_domain_compilation,"Modernism (Literature)",886,false,false,,,,,,,"... <b>CHILDREN</b> . 3/6 A very piquant and clever story descriptive of the excellent ... <b>picture book</b> by the authors of &quot; <b>Funny</b> Bunnies , &quot; illustrating t"
Test A,8LA-MQAACAAJ,"Funny Short Stories for Kids","kids humorous picture book",story_collection,"",38,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"The charming, original illustrations and witty captions are sure to delight children of all ages as well as parents."
Test A,DLJUAAAAYAAJ,"Bookseller and Stationer","kids humorous picture book",public_domain_compilation,"",556,false,false,,,,,,,"... <b>jokes</b> and <b>pictures</b> , both in color and black and white , make up the rich volume . The cover of the quarto is of <b>picture</b> boards , as always , with a stout "
Test A,HvgltPLPUmQC,"The Bookseller, Newsdealer and Stationer","kids humorous picture book",public_domain_compilation,"",558,false,false,,,,,,,"LE Courtesy of Cupples &amp; Leon Company . <b>Books</b> for <b>Children</b> ANNUALS NURSERY ... <b>picture</b> boards , as always , with a stout cloth back and the type , though ."
Test A,zXPOngEACAAJ,"The Seriously Silly 1-2-3 Book","kids rhyming picture book",nonfiction,"Juvenile Nonfiction",30,false,false,,,,,,,"""The Seriously Silly 1-2-3 Book"" became an international bestseller within days of its publication. In it, children are introduced to the numbers one through twenty using colorful "
Test A,rRPQygAACAAJ,"Mortimer's Book of What-Ifs","kids rhyming picture book",novel,"Juvenile Fiction",24,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,adult,picture_book,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"Children's (kids) Rhyming Picture Book with a Where's Waldo appeal. All kids ask ""What if"" questions each and every day. This is the way that they learn and develop their growing m"
Test A,byiKngEACAAJ,"Count to Ten With Your New Friends!","kids rhyming picture book",nonfiction,"Juvenile Nonfiction",34,false,false,,,,,,,"""Count to Ten With Your New Friends"" became a #1 Bestseller within days of its publication and introduces children to the numbers one through ten using colorful drawings, fantastic"
Test A,orjVngEACAAJ,"Things You Might See #4","kids rhyming picture book",nonfiction,"Juvenile Nonfiction",38,false,false,,,,,,,"Every child will enjoy ""Things You Might See #4"" whether they've already started to read or aren't quite there yet. Using brightly-colored drawings and often funny rhymes, you'll r"
Test A,8I8MjwEACAAJ,"Everything Will Be Ok","kids rhyming picture book",unknown,"",26,false,false,,,,,,,"""If you are feeling down,"" ""Don't worry"" ""No need to frown."" ""Everything will be OK."" Throughout this book one courageous girl encourages everyone to carry on no matter what troubl"
Test A,t1Vr0QEACAAJ,"What a Funny Little Duck","kids rhyming picture book",nonfiction,"Juvenile Nonfiction",0,false,false,,,,,,,"A book with bright, exciting and funny illustrations and expressive, rhyming text that your children will want to read again and again - singing to themselves the wonderful rhymes "
Test A,EcdeMXbgsX8C,"Clutter Cut, Inc- A Fun Rhyming Picture Book for Kids","kids rhyming picture book",unknown,"",49,false,false,,,,,,,""
Test A,cHiDvgAACAAJ,"The Tickle Monster","kids rhyming picture book",novel,"",32,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"The Tickle Monster Arnie Lightning has created an instant classic with The Tickle Monster. This is a beautifully crafted picture book that children will LOVE! It is perfect for as "
Test A,WIu5ugEACAAJ,"The King's Party","kids rhyming picture book",unknown,"Juvenile Fiction",36,false,false,,,,,,,"The King's Party by BobbiCat is the story of a young girl who has nothing pretty to wear to the King's Party. She is heart-broken until her animal friends come to her rescue.-Vibra"
Test A,JV56jgEACAAJ,"Kid's Alphabet Fun: Rhyming Picture Book","kids rhyming picture book",unknown,"",34,false,false,,,,,,,"Children will be entertained and delighted while learning their ABCs with the 'Kid's Alphabet Fun Rhyming Picture Book.' Bright, colorful illustrations of kids playing on upper and"
Test A,BDNjzQEACAAJ,"Rhyming Activity Book","kids rhyming picture book",unknown,"",72,false,false,,,,,,,"Kids Love to Rhyme Words and This Rhyming Activity Book Makes It Fun!Why Learn to Rhyme? Promotes beginning reading skills Increases word recognition Builds phonetic skills Improve"
Test A,WA0MzgEACAAJ,"ABC of Things that Spin","kids rhyming picture book",unknown,"",30,false,false,,,,,,,"Axles, baby mobiles, cement trucks, and more. There's so much fun to explore! Enjoy this easy-to-read children's picture book especially for kids who love things that spin! Full of"
Test A,pXgVngEACAAJ,"Sally's Silly Hair Day","kids rhyming picture book",unknown,"",50,false,false,,,,,,,"""I've reviewed a number of children's picture books, many of them quite good, but this is one of the most creative ones that I've read in a while."" - J. Chambers Amazon Top 50 Revi"
Test A,cDORDwAAQBAJ,"How to Write a Children's Picture Book","kids rhyming picture book",writing_guide,"Reference",205,false,false,,,,,,,"WRITING FOR CHILDREN **UPDATED New Chapter: How to write a metafiction picture book** Kids and books—they just go together. Children’s picture books are an addictive passion! You l"
Test A,LWj4nQEACAAJ,"The Day My Mommy Quit!","kids rhyming picture book",novel,"Juvenile Fiction",34,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"The Day My Mommy Quit! Funny Rhyming Picture Book for Beginner Readers (Suitable for ages 2-8) Beautifully Illustrated Story that will have both parents and children laughing out l"
Test A,pp_fugEACAAJ,"Granddad's Picture Book","kids rhyming picture book",unknown,"Juvenile Fiction",30,false,false,,,,,,,"Granddad's Picture Book is the beautiful story of a grandfather's story time that will take the reader back in time and to fantasy lands of imagination. Your child will dance with "
Test A,4jdQDQEACAAJ,"What to Bee?","kids rhyming picture book",unknown,"",24,false,false,,,,,,,"Excerpt from the Book: ""Be friendly and treat others with care."" ""Happiness is amazing to share."" ""Be polite wherever you go."" ""Your good manners are great to show."" A young bee en"
Test A,F5WJjgEACAAJ,"Photograph","kids rhyming picture book",unknown,"",30,false,false,,,,,,,"Excerpt from the Book: ""With a photo I can capture a moment in time."" ""The moment is special."" ""The moment is mine."" Photograph is about a girl who loves photography. She loves tak"
Test A,EvWxugEACAAJ,"The Circus is Coming to Town","kids rhyming picture book",unknown,"Juvenile Fiction",40,false,false,,,,,,,"BobbiCat transports your child to the bright lights of pure delight under the big top in ""The Circus is Coming to Town"". There, among the aroma of popcorn, peanuts, cotton candy, a"
Test A,SH3DoAEACAAJ,"Counting Kids","kids rhyming picture book",nonfiction,"Juvenile Nonfiction",26,false,false,,,,,,,"“Counting Kids: A Fun Rhyming Picture Book of Numbers” is a fun way for children to learn to count to 10 and back again. With catchy rhymes and adorable illustrations, your child's"
Test B,Xe7zwgEACAAJ,"The Adventures of Kumuka James: Bedtime Story Fiction Children's Picture Book(kids Books Boys) (Best Books for 6 Year Olds), (Reading Books for Kids 6","kids adventure picture book",unknown,"Juvenile Fiction",36,false,false,,,,,,,"The Adventures of Kumuka James will quickly become a favorite at storytime, bedtime, or any other time. Kumuka James is a new fun children's adventure picture book with beautiful c"
Test B,L3d30QEACAAJ,"Pippin's Forest Adventure","kids adventure picture book",novel,"Juvenile Fiction",0,true,false,k2_collection_or_bundle_generic_bundle,kids,picture_book,accepted_k2_independent_audience_and_format,k2_collection_or_bundle_generic_bundle,generic_bundle,"A curious city pigeon. A forest full of surprises. A heartwarming picture book about friendship, courage, and the wonder of nature. When Pippin the pigeon leaves behind her busy ci"
Test B,Vsc8DwAAQBAJ,"The Long Island","kids adventure picture book",novel,"Juvenile Fiction",65,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"Some of us like the comfort of familiarity—staying close to the home we've always known, making a life, building a community. For some, the intimacy of the old routine is satisfact"
Test B,mWZpBgAAQBAJ,"Get Started in Writing an Illustrated Children's Book","kids adventure picture book",writing_guide,"Language Arts & Disciplines",196,false,false,,,,,,,"Do you have an irresistible idea for a children's book with pictures? Are you inspired by writers like Julia Donaldson and Lauren Child? Get Started in Writing and Illustrating A C"
Test B,R3u0oAEACAAJ,"Under the Sea Adventure","kids adventure picture book",novel,"",36,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"""This is a great book to teach children about marine life and sea animals.!"" When you were young did you get swept away with tales of adventure about sea creatures? With this book "
Test B,VJBNCgAAQBAJ,"The Mystery Box","kids adventure picture book",novel,"Juvenile Fiction",17,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"Age: From 4 years old Do you dream of becoming an adventurer? Discover Jack and Maddie’s fantastic journeys! This morning, Jack and Maddie have decided to spend a simple day fishin"
Test B,q-K1CgAAQBAJ,"Finding Wild","kids adventure picture book",novel,"Juvenile Fiction",17,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"A lovely, lyrical picture book with gorgeous illustrations that explores the ways the wild makes itself known to us and how much closer it is than we think. There are so many place"
Test B,uPjtEAAAQBAJ,"The Little Explorer: A Wholesome Adventure Picture Book for Kids","kids adventure picture book",novel,"Juvenile Fiction",29,true,false,k2_collection_or_bundle_generic_bundle,kids,picture_book,accepted_k2_independent_audience_and_format,k2_collection_or_bundle_generic_bundle,generic_bundle,"Are you ready to foster a love for curiosity and discovery in your child? Dive into the enchanting world of 'The Little Explorer,' where every page is a journey filled with hidden "
Test B,LfJ_AgAAQBAJ,"Kidnapped! - An Amity Kids Adventure","kids adventure picture book",unknown,"Juvenile Fiction",63,false,false,,,,,,,"Kidnapped! is an Amity Kids adventure, co-authored by acclaimed Australian writers Ken Spillman and Jon Doust, with illustrations by popular children's book illustrator James Foley"
Test B,2uVizQEACAAJ,"Solar System Amazing Space Adventure","kids adventure picture book",unknown,"",,false,false,,,,,,,"Buy Solar System Amazing Space Adventure to launch into a tail-wagging journey today"
Test B,XMobBQAAQBAJ,"Adventures of My Dentist and the Tooth Fairy","kids adventure picture book",nonfiction,"Juvenile Nonfiction",345,false,false,,,,,,,"Adventures of My Dentist and the Tooth Fairy Activity and Coloring Book is the second book in the Hood Activity and Coloring Book Series. It will give your child many hours of enjo"
Test B,wdezzgEACAAJ,"Atom and the Universe","kids adventure picture book",novel,"",24,true,false,k2_collection_or_bundle_generic_bundle,kids,picture_book,accepted_k2_independent_audience_and_format,k2_collection_or_bundle_generic_bundle,generic_bundle,"Ignite a lifelong passion for astronomy by joining Atom's fun and science-packed adventure beyond the stars! ""Every light you see was made from a light that came before it,"" the Un"
Test B,Yzv8DwAAQBAJ,"Solar System Amazing Space Adventure","kids adventure picture book",novel,"Juvenile Fiction",0,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,adult,juvenile_narrative,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"This dog’s about to blast off. Will his trip be out-of-this-world? Arthur can’t wait to make his first flight into outer space. Jumping for joy, he’s rocketing off on a mission to "
Test B,HRmGDwAAQBAJ,"Children's Literature and Imaginative Geography","kids adventure picture book",critical_study,"Literary Criticism",483,false,false,,,,,,,"Where do children travel when they read a story? In this collection, scholars and authors explore the imaginative geography of a wide range of places, from those of Indigenous myth"
Test B,NR3vswEACAAJ,"The Adventures of Billy and Bob","kids adventure picture book",unknown,"",32,false,false,,,,,,,"The Adventures of Billy and Bob Thank you for your interest One day in the park, Billy makes an unlikely friend: a giant blue monster named Bob. While meeting a monster is always a"
Test B,dk4G-52QT-8C,"The Encyclopedia of Christian Literature","kids adventure picture book",reference,"Religion",734,false,false,,,,,,,"The written word is one of the defining elements of Christian experience. As vigorous in the 1st century as it is in the 21st, Christian literature has had a significant function i"
Test B,ZmBuEAAAQBAJ,"The Transformative Potential of LGBTQ+ Children’s Picture Books","kids adventure picture book",critical_study,"Literary Criticism",194,false,false,,,,,,,"2023 CHOICE Outstanding Academic Title In The Transformative Potential of LGBTQ+ Children’s Picture Books, Jennifer Miller identifies an archive of over 150 English-language childr"
Test B,OBxg-PKmBsoC,"Children's Writer's and Illustrator's Market '97","kids adventure picture book",reference,"Language Arts & Disciplines",380,false,false,,,,,,,"An annually published directory containing over 800 listings of publishers for authors and illustrators of children's books."
Test B,01n6DwAAQBAJ,"Field Trip to the Moon","kids adventure picture book",novel,"Juvenile Fiction",42,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"It's field trip day, and students are excited to travel on their yellow spaceship bus from their space station to the moon in this wordless picture book. An ALA Notable Children's "
Test B,EiC-uKvd-GgC,"2004 Children's Writer's and Illustrator's Market","kids adventure picture book",miscellany,"Design",404,false,false,,,,,,,"""This is the most comprehensive, current, and helpful guide to the children'spublishing industry that I've seen.""--Steven Malk, Agent, Writer's House."
Test B,bTExjgEACAAJ,"Adventures of a Kid Magician","kids magic adventure",novel,"Juvenile Fiction",0,true,true,entered_scoring,kids,juvenile_narrative,accepted_k2_independent_audience_and_format,,ambiguous,"Adventures of a Kid Magician is Zach's private journal, detailing how magic gets Zach both into and out of trouble as he learns life lessons! Along with Zach's thrilling stories an"
Test B,VLMO0AEACAAJ,"Magic Book Children's picture book Magic/Fantasy/Adventure","kids magic adventure",novel,"",0,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,unknown,picture_book,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"""BOOK WITH TEXT IN ENGLISH WRITTEN IN ITALY"" ""Join Oliver, a resourceful young adventurer, and his friends as they embark on an incredible adventure in the Kingdom of Wonders. Toge"
Test B,k08oDwAAQBAJ,"The Children's Magical Adventures","kids magic adventure",novel,"Fiction",63,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,unknown,juvenile_narrative,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"During the first world war Kenneth Ingle moved his family of mother Gloria, children Asa, Jade and Kaya into the English countryside, but after he becomes a prisoner of the enemy h"
Test B,QWdODwAAQBAJ,"Peter Pan & Other Magical Adventures For Children - 10 Classic Fantasy Books in One Volume (Illustrated Edition)","kids magic adventure",novel,"Juvenile Fiction",1243,true,false,k2_missing_child_readable_narrative_or_format_identity,kids,unknown,rejected_k2_independent_audience_or_format,k2_missing_child_readable_narrative_or_format_identity,,"Musaicum Books presents to you this carefully created volume of ""Peter Pan & Other Magical Adventures For Children - 10 Classic Fantasy Books in One Volume (Illustrated Edition)"". "
Test B,8y_dEAAAQBAJ,"Barbie's Magical Adventure in Dreamland","kids magic adventure",novel,"Fiction",61,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,unknown,juvenile_narrative,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"Reading ""Barbie's Magical Adventure in Dreamland"" takes people to magical worlds of thought and wonder. The story is about Barbie, a young girl with beautiful golden hair and brigh"
Test B,YSbXDwAAQBAJ,"MERRIMEG - Seven Magical Adventures for Children","kids magic adventure",unknown,"Fiction",121,false,false,,,,,,,"Once upon a time there was a little girl whose name was Merrimeg. Sometimes she was good, and sometimes she was, well, not so good. Whatever the situation she found herself in, or "
Test B,FTJc0AEACAAJ,"Magical Adventures","kids magic adventure",unknown,"",0,false,false,,,,,,,"Welcome to the Magical World of ""Magical Adventures""!"
Test B,9_LZzwEACAAJ,"Magical Adventures. A Collection of Enchanting Stories for Children.","kids magic adventure",story_collection,"",0,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,unknown,juvenile_narrative,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"Magical Adventure is a collection of enchanting stories for children.Sonia Jones, Magical Adventures for Children is a beautifully crafted fantasy storybook that will take the year"
Test B,hIYdzgEACAAJ,"Magical Madness","kids magic adventure",novel,"",217,true,false,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,unknown,juvenile_narrative,rejected_k2_independent_audience_or_format,k2_unknown_or_non_k2_audience_without_credible_k2_evidence,,"Magic. Mayhem. And Nerf crossbows. Welcome to Magical Madness. If you like wizards, dragons, knights and magical adventures, you'll love this ...Thomas Tinkler is ten years old. He"
Test B,q3AgLvuufnQC,"The wonder children, their quests and curious adventures","kids magic adventure",public_domain_compilation,"",362,false,false,,,,,,,"... <b>Magic</b> Mir- ror as a stupid donkey hardly any taller than a Shetland pony . The effort exhausted the <b>child&#39;s</b> strength and she sank back and closed her eyes aga"
Test B,3JAEDgAAQBAJ,"The Greatest Children's Books - E. Nesbit Collection: Fantastical Adventures, Tales of Magical Creatures & Journeys into Enchanting Worlds (Illustrated)","kids magic adventure",story_collection,"Fiction",3134,true,false,googlebooks_mature_content_not_allowed_for_kids,unknown,juvenile_narrative,rejected_k2_independent_audience_or_format,googlebooks_mature_content_not_allowed_for_kids,,"This carefully crafted ebook: “The Greatest Children's Books - E. Nesbit Collection: Fantastical Adventures, Tales of Magical Creatures & Journeys into Enchanting Worlds (Illustrat"
Test B,6nk-a7s6vZ4C,"Bowker's Directory of Videocassettes for Children 1999","kids magic adventure",reference,"Performing Arts",1326,false,false,,,,,,,"... <b>Magic Adventures</b> of Mumfie : The Movie . ( 1996 ) . <b>Children</b> . Animated . Color . 70 min . CC Juvenile . From the people who brought you the award- winning &quot;"
Test B,AZWAzQEACAAJ,"Magic","kids magic adventure",unknown,"",40,false,false,,,,,,,"MAGIC: ADVENTURE COLORING: A Magic Coloring Book For Kids *A fun & educational collection of MAGIC coloring patterns for kids *Great for keeping kids occupied at home during social"
Test B,graiX5o4tMYC,"Children's Books and Their Creators","kids magic adventure",critical_study,"Literary Criticism",860,false,false,,,,,,,"Unique in its coverage of contemporary American children's literature, this timely, single-volume reference covers the books our children are--or should be--reading now, from board"
